GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484017012,7320,47529,27,13.34,86.61,0.05
484017013,6935,8773,36,44.05,55.72,0.23
484017014,2221,6903,25,24.28,75.45,0.27
484017015,11708,13658,73,46.02,53.69,0.29
484017016,5212,13027,0,28.58,71.42,0.0
484017017,31833,32518,129,49.37,50.43,0.2
484017018,19401,97122,138,16.63,83.25,0.12
484017019,7956,18842,32,29.65,70.23,0.12
484017020,23110,29470,103,43.87,55.94,0.2
484017021,765,6486,30,10.51,89.08,0.41
484017022,14574,6915,10,67.79,32.16,0.05
484017023,4380,3132,13,58.21,41.62,0.17
484017024,7383,42289,36,14.85,85.07,0.07
484017025,4971,27438,8,15.33,84.64,0.02
484017026,9402,9050,17,50.91,49.0,0.09
484017027,5678,6429,6,46.88,53.08,0.05
484017028,17684,49592,192,26.21,73.5,0.28
484017029,24108,77241,107,23.76,76.13,0.11
484017030,9611,43756,16,18.0,81.97,0.03
484017031,5646,28783,81,16.36,83.4,0.23
484017032,12388,12516,3,49.74,50.25,0.01
484018001,10644,24628,161,30.04,69.51,0.45
484018002,3421,11151,6,23.47,76.49,0.04
484018003,1587,9314,63,14.47,84.95,0.57
484018004,25196,223389,1423,10.08,89.35,0.57
484018005,9601,1581,1,85.85,14.14,0.01
484018006,2989,24530,178,10.79,88.57,0.64
484018007,5593,12564,77,30.67,68.9,0.42
484018008,5069,56372,15,8.25,91.73,0.02
484018009,39665,2613,130,93.53,6.16,0.31
484018010,14189,17525,62,44.65,55.15,0.2
484018011,6031,16687,37,26.5,73.33,0.16
484018012,2809,36814,38,7.08,92.82,0.1
484018013,642,6703,20,8.72,91.01,0.27
484018014,4189,18951,30,18.08,81.79,0.13
484018015,2594,87193,5,2.89,97.11,0.01
484018016,6973,28409,116,19.64,80.03,0.33
484018017,38400,364200,1048,9.51,90.23,0.26
484018018,206,28541,4,0.72,99.27,0.01
484018019,6295,6532,7,49.05,50.9,0.05
484019001,50,2758,2,1.78,98.15,0.07
484019002,62,3202,0,1.9,98.1,0.0
484019003,1,1356,0,0.07,99.93,0.0
484019004,363,32853,205,1.09,98.3,0.61
484019005,488,16461,91,2.86,96.6,0.53
484019006,31346,589208,1502,5.04,94.72,0.24
484019007,252,14095,0,1.76,98.24,0.0
484019008,175,3330,2,4.99,94.95,0.06
484019009,13215,101233,96,11.54,88.38,0.08
484019010,6588,90264,429,6.77,92.79,0.44
484019011,290,6776,0,4.1,95.9,0.0
484019012,5720,59122,157,8.8,90.96,0.24
484019013,39,9508,3,0.41,99.56,0.03
484019014,791,33195,88,2.32,97.42,0.26
484019015,10,1299,7,0.76,98.71,0.53
484019016,143,2954,1,4.62,95.35,0.03
484019017,210,38322,109,0.54,99.17,0.28
484019018,57777,314953,1093,15.46,84.25,0.29
484019019,3801,121221,2915,2.97,94.75,2.28
484019020,51,5209,6,0.97,98.92,0.11
484019021,44930,410826,682,9.84,90.01,0.15
484019022,128,13374,0,0.95,99.05,0.0
484019023,10,1734,7,0.57,99.03,0.4
484019024,7,5917,8,0.12,99.75,0.13
484019025,10435,85915,67,10.82,89.11,0.07
484019026,29417,585913,2628,4.76,94.81,0.43
484019027,2,1902,0,0.11,99.89,0.0
