GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484013003,27563,3260,18113,255,56.03,6.63,36.82,0.52
484013004,3699,572,3776,19,45.86,7.09,46.81,0.24
484013005,8180,850,6014,35,54.25,5.64,39.88,0.23
484013006,7145,775,7212,63,47.02,5.1,47.46,0.41
484013007,4754,720,4416,18,47.98,7.27,44.57,0.18
484013008,19013,2626,15593,49,51.0,7.04,41.83,0.13
484013009,8527,1055,5797,99,55.09,6.82,37.45,0.64
484013010,12441,1672,11673,27,48.2,6.48,45.22,0.1
484013011,6213,1091,8387,80,39.4,6.92,53.18,0.51
484013012,11793,2247,9326,54,50.35,9.59,39.82,0.23
484013013,24885,2808,21027,84,50.99,5.75,43.08,0.17
484013014,5080,1118,6777,50,39.0,8.58,52.03,0.38
484013015,6972,1314,6898,131,45.52,8.58,45.04,0.86
484013016,21897,3358,21409,193,46.73,7.17,45.69,0.41
484013017,4552,1026,4597,78,44.4,10.01,44.84,0.76
484013018,7993,1151,8194,89,45.87,6.6,47.02,0.51
484013019,17105,2991,14124,56,49.9,8.73,41.21,0.16
484013020,788,325,1030,8,36.63,15.11,47.88,0.37
484013021,6183,475,5462,38,50.86,3.91,44.93,0.31
484013022,7044,811,5559,41,52.35,6.03,41.32,0.3
